Company Name,Clients,Desired output
Carejourney,Partner Program | Become a Partner,
medanalytics,Client Success,
Venn BioSciences Corp.,Join Our Mission,
Axxess Home Health,Industry Partners | Association Partners,
Virgin Pulse,Partner Ecosystem,
PointClickCare Home Health Care Platform,Partner Exchange | Pharmacy and Diagnostics,Pharmacy and Diagnostics
"Shields Health Solutions Holdings, LLC",Our Partners,
"Hospital IQ, Inc.",Partner | Partnerships,
"zennya, Inc.",Insurance Providers | Hospitals | Laboratories | Hotels,Insurance Providers | Hospitals | Laboratories | Hotels
"Ovuline, Inc.",Channel Partners,
"Healthgrades Operating Company, Inc.",Promote Your Practice,
4G Clinical LLC,Partnerships,
"LifeQ, Inc.",Partnership,
csilaboratories,Email Client Service,
SilverCloud Health Inc.,500+ | Our Customers | Become a Partner,
Xsolis LLC,Client Success Stories,
"Helix OpCo, LLC.",Our Partners,
ClinicaHealth Inc.,Client Solutions | Insights | Recruit | Promote | Reach engaged patients | Get meaningful insights | Advance clinical trials | Measure market potential,
"Women's Health USA, Inc.",Growth Partnerships,
"NexHealth, Inc.",Become a Partner,
"Symphony Performance Health, Inc.",Who We Serve | Health Plans & PBMs | Medical Groups & Practices | Hospitals & Health Systems | ACOs | ASCs | Clients,Medical Systems | Hospitals and Health systems
"Nutcracker Therapeutics, Inc",Partnering | Start Here,
"Relatient, Inc.",Our Partners,Partners
"XIFIN, Inc.",Partners & Affiliations,Partners
"OM1, Inc.",Partner Analytics,Partners
"Advanced Monitored Caregiving, Inc.",Who We Serve | For Payers | For Providers | For Payviders | For Employers | For Government | For Partners,Employers | Government
Ciitizen Corporation,Our Partners | Ciitizen Partners with STXBP1 Foundation to Accelerate Patient Outcomes,Partners
"eQHealth Solutions, LLC",Our Clients,Clients
"Greenphire, Inc.",Who We Serve | Client Experience | Experience Overview,Clients
"TeleTracking Technologies, Inc.",Client Success,Clients
"Medly Health, Inc.",Where we deliver | Where we Serve,
Maven Clinic Co.,Client Stories,Clients
"Olive AI, Inc.",Developers,
"Doximity, Inc.",Partner Overview,Partners
"Digital Therapeutics, Inc.",Employers | Individuals | Providers | Health Plans | For Employers | For Individuals | employers | HEALTH PLANS & PBMs,Employers
"VisiQuate, Inc",VisiQuate Expands Partnership with Etyon Health,
"Uniper Care, Inc.",For Partners | Partner with Us | Payers MCOs | Veteran's Affairs | Agencies on Aging | Community Based Orgs. | The Uniper Platform,Payers MCOs | Veterans | Agencies on Aging | Community Based Orgs. | The Uniper Platform
"DrChrono, Inc.",Become a Partner | Apple Mobility Program | App Marketplace,
Surgical Notes Inc.,The Note Pad Client Community,
"RxRevu, Inc.",Additional Partners | Arrive Health Receives Cerner Partner of the Year,
"Soladoc, LLC",Become a Partner | Partner Ecosystem,
"Wheel Health, Inc.",Partnership,
"Simione Healthcare Consultants, LLC.",Markets Served,
"OODA Health, Inc.",Client Impact | Read our Client Success Stories,
"Science 37, Inc.",Partnerships,
Dyno Therapeutics Inc.,Partnering & Licensing,
"MERIT CRO, Inc.",Our Partners | CRO Partnerships | Sponsor Partnerships,
"Caresyntax, Inc.",Who We Serve | Hospitals & Surgery Centers | Surgeons | Insurers & Risk Managers,"Hospitals & Surgery Centers,Surgeons,Insurers & Risk Managers"
"K4Connect, Inc.",Who We Serve | Residents | Staff | Family & Friends | Operators | Integrations & Partners | Resident Engagement | Integrated Communications | Smart Home | Team Productivity | Community Services | K4Labs,K4Labs
"Medable, Inc.",Partner Network,
uLab Systems Inc.,uLab Partners,
"WellTok, Inc.",Partner Ecosystem,
"1upHealth, Inc.",Use Cases | Payers | Providers | Developers | WHO WE SERVE,
"eBlu Solutions, Inc.",Who We Serve | Specialty Healthcare Providers | Pharmaceutical Manufacturers | Payers,"Specialty Healthcare Providers,Pharmaceutical Manufacturers,Payers"
"Zealth, Inc.",How we partnerBuilding a foundation for long-term success | How we partner,
"Rightway Healthcare, Inc.",Partnership program,
"Alignment Healthcare USA, LLC",Our Offerings | Brokers | Institutional Partners | Providers,"Brokers,Institutional Partners,Providers"
"Bardavon Health Innovations, LLC",Partnerships | Therapy Providers | Employers | Carriers and TPAs | Adjusters and Nurse Case Managers | Physicians | Injured Workers | Clients | Im a Therapy Provider | Im an Employer | Im a Carrier / TPA | Im an Adjuster / NCM | Im a Physician | Im an Injured Worker,
Evidation Health Inc.,For Partners,
"Digbi Health, LLC",Partner | Employers & Payers,
"Happify, Inc.",Who We Serve,
"Viz.ai, Inc.",PartnershipsHow we work with device and pharma | Partnerships,
"Millennia Patient Services, LLC",Who We Serve | Physician Offices and Medical Groups | Hospitals and Health Systems | Ambulatory Surgical and Emergency Centers | Post Acute Care,"Physician Offices and Medical Groups,Hospitals and Health Systems,Ambulatory Surgical and Emergency Centers,Post Acute Care"
"Cedar Cares, Inc.",Client Impact | Read our Client Success Stories,
"L7 Informatics, Inc.",L7 CUSTOMERS | Therapeutics | Medicine | Diagnostics | Research | Agriculture | PARTNERING WITH L7 | Partnering with L7 | Partnership types | Become a L7 partner | STRATEGIC + IMPLEMENTATION | TECHNOLOGY | OEM + RESELLER | Become a Partner,
"Bio-Optronics, Inc.",Advarra Partner Network,
"Bizmatics, Inc.",Our Partners,
"Discovery Health Partners, LLC",Payor Portal Log In,
"Eden Health, Inc.",Eden Health Launches Virtual Pediatric Services Through MyTelemedicine Partnership | Eden Health Brings Premium Healthcare to Boston,
"Seer, Inc.",PartnersView our partnerships,
"Casenet, LLC",The Casenet Client Experience,
"Kyruus, Inc.",Our Technology Partners,
Lightbeam Health Solutions LLC,Partnering with Lightbeam,
"Quantros, Inc.",Who We Serve | Client Success,
Updox LLC,Who We Serve | Physicians | Pharmacists | Health Systems | LTPAC | Our Partners,
VaxCare Corp.,Partner Stories,
"Altruista Health, Inc.",Who We Serve | Commercial Health Insurers & Health Plans | Government-funded Insurers & Health Plans | Provider Organizations | Behavioral Health Organizations | Our Partners,"Commercial Health Insurers & Health Plans,Government-funded Insurers & Health Plans,Provider Organizations,Behavioral Health Organizations"
"Aspen Health, Inc.",Strategic Partners | Clients,
ChromaCode Inc.,Partnership Opportunities | Partnering,
"Clinical Ink, Inc.",Clinical ink Relaunches Industry-Leading Partner Program,
"Verata Analytics, LLC",Developers,
"Andor Health, LLC",Partners / Customers,
"DataLink Software, LLC",Payers | Providers | Managed Service Organizations | Fully-Insured / Self-Funded Plans | Healthcare Providers,"Managed Service Organizations,Fully-Insured / Self-Funded Plans,Healthcare Providers"
"Well Health, Inc.",Partners & Integrations,
"Healthcare Systems & Technologies, LLC",Partners & Integrations | Client Support,
"Intelligent Medical Objects, Inc.",Partnerships | Who We Serve,
"Transparently, LLC",Our Partnerships,
careporthealth,ACOs Provide high-quality coordinated care and reduce healthcare costs | Physician Groups Coordinate with home and community-based organizations | Partnerships Address challenges and improve outcomes for your organization | Hospitals & Health Systems | ACOs & Physician Groups | Payers & Health Plans | Post-Acute Providers | ACOs and Physician Groups | Hospitals and Health Systems | Payers and Health Plans | Epic Clients | Cerner Clients | Partnerships,"Hospitals & Health Systems,ACOs & Physician Groups,Payers & Health Plans,Post-Acute Providers,ACOs and Physician Groups,Hospitals and Health Systems,Payers and Health Plans ,Epic Clients,Cerner Clients"
"MedeAnalytics, Inc.",Client Success,
Annkissam LLC,Client Management and Workflow,
NexTech Systems LLC,Client Support | Connected Solutions,
"Edifecs, Inc.",XEngine Server | XEngine Server FHIR,
"TigerConnect, Inc.",Integration Partners | Client Success,
"NeuMoDx Molecular, Inc.",Partnerships,
Medigate Tech Ltd.,Technology Partners | Channel Partners,
"Diameter Health, Inc.",PayersDeploy clinical data across the enterprise | Life InsuranceReduce risk and improve customer experience | Health Information ExchangesDevelop sustainable business models | GovernmentAdvance public health and enable better care | PartnersAccelerate time to value | Payers | Health Information Exchanges | Government | Life Insurance,"Payers,Health Information Exchanges,Government,Life Insurance"
"PatientPop, Inc.",Specialties,
"Credible Behavioral Health, Inc.",Partnership | Partnership Approach | Credible Cares | Partner Conference,
Qualifacts Systems Inc.,Markets We Serve | Behavioral Health | Mental Health | Certified Community Behavioral Health Clinics (CCBHC) | Health and Human Services | Children and Family Services | Inpatient and Residential | Rehabilitative (PT/OT/SLP) | Substance Use Disorder Treatment | Intellectual & Developmental Disabilities and Autism Spectrum Disorders | Client Outcomes | Client Engagement,
PharmD Live LLC,Who We Serve | Physicians | ACO/IDN | Payors | Hospitals/Health Systems | Pharmaceutical Companies | Post-Acute Care,"Physicians,ACO/IDN,Payors,Hospitals/Health Systems,Pharmaceutical Companies,Post-Acute Care"
"Health Fidelity, Inc.",Partnerships,
"Xealth, Inc.",Clients & Stories | Remote Patient Monitoring | Value-Based Care | Patient Communication & Care Gaps | Digital Therapeutics & PDTs | Virtual Care Enablement | Partner Community,
"Immersive Tech, Inc.",Request Access,
"Audacious Inquiry, LLC",Partnerships | Who We Serve | HIEs | FEDERAL GOVERNMENT | STATE GOVERNMENTS | HEALTH INSURERS | ACOs | PROVIDERS | HOSPITAL ASSOCIATIONS | Health Information Exchange | Federal Government | State Goverments / Medicaid | Health Insurers | Accountable Care Organizations | Providers | Hospital Associations,"HIEs,HEALTH INSURERS,ACOs,PROVIDERS ,HOSPITAL ASSOCIATIONS,Health Information Exchange,Federal Government,State Goverments,Medicaid | Health Insurers,Accountable Care Organizations,Hospital Associations"
"Health Billing Systems, Inc.",HBS Physician Clients,
Abacus Insights Inc,Payers | Provider Organizations | Payer Delegated Entities,"Payers,Provider Organizations,Payer Delegated Entities"
macrohealth,Who We Serve | Payers | Provider Networks | Other Partners,"Payers,Provider Networks,Other Partners"
"Level Ex, Inc.",Partner With Us | Pharma & Biotech | All Solutions | Medical Device,
"Medstreaming, Inc.",Who We Serve,
"Raintree Systems, Inc.",Innovative Partnerships,
"Wildflower Health, Inc.",Clients | Providers | Commercial Payers | Medicaid,"Providers,Commercial Payers,Medicaid"
"ZeOmega, Inc.",Who We Serve | Client Success | Jiva Implementation Services | MEDICAID MANAGED CARE PLANS | MEDICARE ADVANTAGE PLANS | HEALTH SYSTEMS | ACOs | Who we Serve | Jiva Implementation Service,Jiva Implementation Services
AiCure LLC,Partnerships,
"Surgical Theater, Inc.",See our partners,
assistrx,Who we serve | Life Science Companies | Healthcare Providers | Specialty Pharmacies,"Life Science Companies,Healthcare Providers,Specialty Pharmacies"
ImageTrend Inc.,Client Education,
"Evive Health, LLC",Who We Serve | Employers | Channel | Brokers + Consultants | Optimize workplace well-being | Personalize your approach | Streamline your strategy | Consultants + Brokers,"Employers,Channel,Brokers + Consultants"
"BioMedix, Inc.",PARTNERS Program,
"ChartSpan Medical Technologies, Inc.",MARKETPLACE,
hc1 Inc.,Diagnostic LaboratoriesReduce costs and grow | Health Systems and IDNsDeliver personalized care | Solutions | Client Resources | hc1 Announces Support for AWS for Health Initiative | Diagnostic Laboratories | Health Systems and IDNs | Health Plans,
"Careview Communications, Inc.",Who We Serve,
"MacPractice, Inc.",Alliance Partners,
"RubiconMD, Inc.",Why RubiconMD | See what sets us apart,
Clarivate,Cortellis Partner Program | ScholarOne Partner Program,
"IntelyCare, Inc.",Facilities We Serve,
Connexient LLC,Global Partner Program,
intelligentinsites,Strategy | Channel Partners | Alliance Partners | Product Partners | Partner Resources,
